Miesiac   Zaladunek Wyladunek
2016-1    76    32
2016-2    8    0
2016-3    0    50
2016-4    68    0
2016-5    None    None
2016-6    42    0
2016-7    83    0
2016-8    0    191
2016-9    44    4
2016-10    None    None
2016-11    30    0
2016-12    None    None
2017-1    39    112
2017-2    0    1
2017-3    35    0
2017-4    1    0
2017-5    33    68
2017-6    8    0
2017-7    42    0
2017-8    4    48
2017-9    None    None
2017-10    0    6
2017-11    12    1
2017-12    None    None
2018-1    10    22
2018-2    34    0
2018-3    0    34
2018-4    5    0
2018-5    None    None
2018-6    95    0
2018-7    25    0
2018-8    22    121
2018-9    0    26
2018-10    20    0
2018-11    48    64
2018-12    0    4
